Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
554,Marcus Edwards,eng ENG,FW,Burnley,eng Premier League,26.0,1998,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0,,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,1,0,0,0,1,0,1,0,0,,0,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,CJ Egan-Riley,eng ENG,DF,Marseille,fr Ligue 1,22.0,2003,3,3,208,2.3,0,0,0,0,0,0,0,1,0.0,0.0,0.7,0.7,0.00,0.31,2,13,2,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,182,196,92.9,3271,1012,0,0.7,0.2,-0.7,2,15,1,0,13,188,8,3,1,1,1,4,0,0,0,0,182,4,2,3,0,1,1,100.0,0,4,3,1,0,4,9,1,4,1.73,4,0,0,0,0,0,0,0.00,224,17,74,138,13,2,224,3,1,33.3,2,66.7,153,724,415,2,1,0,2,0,173,2,0,1,0,1,2,0,1,0,2,0,0,0,8,1,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,28.0,1996,3,3,270,3.0,1,0,1,1,0,0,0,0,0.4,0.4,0.4,0.8,0.33,0.27,2,14,2,5,1,20.0,1.67,0.33,0.20,1.00,17.6,0,0,0,0.4,0.4,0.07,+0.6,+0.6,108,131,82.4,1654,408,0,0.4,0.3,-0.4,2,8,2,0,14,125,6,4,0,0,0,2,0,0,0,0,108,4,2,2,1,1,2,100.0,0,2,1,1,5,9,3,2,6,2.00,4,1,0,1,0,0,0,0.00,165,5,32,93,40,6,165,2,1,50.0,1,50.0,72,359,153,2,2,1,5,1,96,2,0,0,0,4,1,0,0,5,2,0,0,0,8,7,3,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,30.0,1995,3,3,259,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.00,0.04,2,6,4,1,0,0.0,0.35,0.00,0.00,,14.1,0,0,0,0.1,0.1,0.11,-0.1,-0.1,66,86,76.7,1276,398,0,0.0,0.1,0.0,0,7,2,1,6,61,25,1,0,0,10,24,0,0,0,0,66,3,2,2,1,0,2,100.0,0,2,0,2,1,4,14,0,1,0.35,1,0,0,0,0,0,1,0.35,117,11,32,51,35,2,117,6,2,33.3,4,66.7,47,206,78,2,3,1,3,2,61,4,0,0,0,4,4,0,10,1,2,0,0,0,4,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Ovie Ejaria,eng ENG,MF,Oviedo,es La Liga,27.0,1997,2,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.00,0.12,0,1,4,1,0,0.0,1.14,0.00,0.00,,24.0,0,0,0,0.0,0.0,0.02,0.0,0.0,24,28,85.7,299,66,0,0.1,0.1,-0.1,1,1,0,0,1,26,2,1,0,0,0,0,0,0,0,0,24,2,2,0,2,0,1,100.0,0,0,0,0,0,2,2,0,1,1.14,1,0,0,0,0,0,0,0.00,37,2,4,22,11,3,37,1,0,0.0,1,100.0,25,95,26,0,0,0,1,3,29,4,0,0,0,1,3,0,0,0,2,0,0,0,2,4,2,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Chidera Ejuke,ng NGA,"FW,MF",Sevilla,es La Liga,27.0,1998,3,2,128,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.00,0.13,2,6,16,2,0,0.0,1.41,0.00,0.00,,20.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,44,54,81.5,805,139,0,0.1,0.1,-0.1,2,3,3,1,6,53,1,0,2,2,1,1,0,0,0,0,44,3,2,2,0,1,1,100.0,0,1,0,1,1,4,1,0,3,2.11,2,0,1,0,0,0,0,0.00,74,1,8,39,30,3,74,6,3,50.0,3,50.0,52,333,128,2,3,2,5,3,57,16,0,0,0,1,1,1,1,1,2,0,0,0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,26.0,1998,4,4,352,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.01,1,5,0,1,0,0.0,0.26,0.00,0.00,,14.4,0,0,0,0.0,0.0,0.01,0.0,0.0,97,112,86.6,1682,545,0,0.0,0.0,0.0,1,3,0,0,5,111,1,1,1,0,1,0,0,0,0,0,97,5,3,4,1,0,3,33.3,2,5,4,1,3,8,31,0,1,0.26,1,0,0,0,0,0,0,0.00,159,35,87,62,10,8,159,0,0,,0,,68,343,177,1,0,0,0,0,83,0,0,0,0,1,0,0,1,3,3,0,0,0,10,12,5,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Jeff Ekhator,it ITA,"FW,DF",Genoa,it Serie A,18.0,2006,2,0,31,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0.00,0.22,1,1,4,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,5,11,45.5,89,26,0,0.1,0.0,-0.1,1,1,0,0,1,10,1,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,5.81,1,0,0,0,1,0,0,0.00,14,0,2,7,5,0,14,0,0,,0,,8,49,26,1,0,0,1,0,9,4,1,0,0,2,2,0,1,0,0,0,0,0,1,1,2,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Hugo Ekitike,fr FRA,FW,Liverpool,eng Premier League,23.0,2002,4,4,299,3.3,2,1,3,2,0,0,0,0,1.4,1.4,0.3,1.7,0.90,0.51,5,7,15,7,3,42.9,2.11,0.90,0.29,0.67,14.0,0,0,0,1.4,1.4,0.21,+0.6,+0.6,37,57,64.9,481,115,1,0.3,0.1,+0.7,4,1,2,0,7,56,1,0,0,0,0,0,0,0,0,0,37,1,1,0,1,0,1,0.0,1,0,0,0,0,1,5,0,9,2.71,5,0,3,1,0,0,2,0.60,93,3,7,41,45,10,93,10,6,60.0,4,40.0,54,272,111,5,3,2,6,7,65,15,0,0,0,5,2,0,0,0,1,0,0,0,6,5,5,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,25.0,2000,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.02,0,0,0,1,0,0.0,4.29,0.00,0.00,,31.6,0,0,0,0.0,0.0,0.01,0.0,0.0,0,3,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,2,1,1,0,0,0,0.00,0,0,0,0,0,0,0,0.00,9,0,4,3,2,0,9,0,0,,0,,4,12,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,22.0,2003,4,2,214,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.00,0.04,9,8,5,2,1,50.0,0.84,0.42,0.00,0.00,18.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,57,75,76.0,873,466,0,0.0,0.0,0.0,1,5,1,0,8,63,10,0,0,0,5,10,0,0,0,0,57,17,8,12,3,2,11,72.7,3,6,1,5,1,18,3,0,5,2.10,4,0,0,0,0,1,0,0.00,123,8,61,45,21,3,123,5,2,40.0,3,60.0,57,408,223,9,2,2,7,3,51,5,0,0,0,2,3,0,5,1,8,0,0,0,19,2,1,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,31.0,1994,1,0,13,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.00,0.53,1,0,0,1,0,0.0,6.92,0.00,0.00,,17.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,1,2,50.0,8,0,0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,1,6.92,0,0,0,1,0,0,0,0.00,5,0,1,2,2,1,5,0,0,,0,,4,28,25,1,0,1,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Anthony Elanga,se SWE,FW,Newcastle Utd,eng Premier League,23.0,2002,4,2,207,2.3,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9,0.00,0.38,9,2,21,2,1,50.0,0.87,0.43,0.00,0.00,13.1,0,0,0,0.6,0.6,0.29,-0.6,-0.6,41,73,56.2,553,125,0,0.3,0.1,-0.3,3,2,2,2,2,67,6,0,1,0,17,1,4,1,3,0,41,1,1,0,1,0,0,,0,0,0,0,0,1,3,0,4,1.74,4,0,0,0,0,0,0,0.00,88,1,10,33,45,9,88,5,1,20.0,3,60.0,56,326,194,9,4,5,4,2,67,21,0,0,0,0,4,0,17,0,1,0,0,0,3,2,5,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Daniel Elfadli,ly LBY,DF,Hamburger SV,de Bundesliga,28.0,1997,3,2,209,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,110,115,95.7,1909,505,0,0.0,0.0,0.0,0,2,0,0,3,104,11,11,0,1,0,0,0,0,0,0,110,3,3,1,2,0,2,50.0,1,5,3,2,5,8,15,0,0,0.00,0,0,0,0,0,0,0,0.00,147,18,68,78,3,0,147,0,0,,0,,91,405,179,0,1,0,4,0,92,0,0,0,0,2,3,0,0,5,3,0,0,0,8,3,3,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Unai Elgezabal,es ESP,DF,Levante,es La Liga,32.0,1993,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,78,101,77.2,1524,737,0,0.0,0.0,0.0,0,4,0,0,6,96,4,4,0,0,0,0,0,0,0,0,78,5,2,3,2,0,3,66.7,1,12,9,3,0,5,38,0,0,0.00,0,0,0,0,0,0,0,0.00,164,52,115,44,5,3,164,0,0,,0,,61,193,111,0,0,0,1,0,75,0,0,0,0,1,3,0,0,0,2,0,0,1,7,13,8,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Mikael Ellertsson,is ISL,"FW,DF",Genoa,it Serie A,23.0,2002,2,1,94,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.00,0.28,2,1,3,2,1,50.0,1.91,0.96,0.00,0.00,11.3,0,0,0,0.2,0.2,0.10,-0.2,-0.2,14,19,73.7,183,26,0,0.1,0.2,-0.1,1,1,0,0,1,19,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0.0,2,1,0,1,0,0,2,0,2,1.91,1,0,0,1,0,0,0,0.00,26,1,5,11,10,4,26,0,0,,0,,10,63,56,2,0,2,1,1,12,3,0,0,0,2,4,0,0,0,0,0,0,0,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Harvey Elliott,eng ENG,"MF,FW",Liverpool,eng Premier League,22.0,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,1,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,4,8,50.0,52,7,0,0.0,0.0,0.0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,9,0,0,5,4,0,9,1,0,0.0,1,100.0,5,21,4,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,Harvey Elliott,eng ENG,"MF,FW",Aston Villa,eng Premier League,22.0,2003,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,2,3,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,8,10,80.0,118,18,0,0.0,0.0,0.0,0,1,0,0,2,9,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0.00,13,1,2,6,5,0,13,1,0,0.0,0,0.0,8,58,32,0,1,0,0,0,9,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Elif Elmas,mk MKD,MF,Napoli,it Serie A,25.0,1999,1,0,22,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.00,0.39,0,0,0,1,1,100.0,4.09,4.09,0.00,0.00,9.9,0,0,0,0.1,0.1,0.09,-0.1,-0.1,2,3,66.7,36,31,0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0.00,8,1,4,0,4,1,8,0,0,,0,,1,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,31.0,1994,2,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,2,2,1,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,28,34,82.4,523,187,0,0.0,0.0,0.0,0,4,0,0,2,28,6,0,0,0,2,6,0,0,0,0,28,3,1,3,0,0,6,50.0,3,2,0,2,0,3,9,0,1,1.14,1,0,0,0,0,0,0,0.00,52,9,26,18,8,0,52,0,0,,0,,14,71,54,2,2,0,1,0,20,1,0,0,0,4,0,0,2,0,1,0,0,0,0,2,2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,28.0,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.01,4,18,2,1,0,0.0,0.33,0.00,0.00,,14.0,0,0,0,0.0,0.0,0.02,0.0,0.0,200,213,93.9,3559,1100,0,0.0,0.2,0.0,1,17,1,0,18,206,7,7,0,2,0,0,0,0,0,0,200,2,2,0,2,0,0,,0,3,3,0,3,5,14,0,2,0.67,2,0,0,0,0,0,0,0.00,235,30,79,144,14,2,235,0,0,,0,,134,931,613,4,4,0,0,1,174,2,0,0,0,2,1,0,0,3,2,0,0,0,8,5,9,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Breel Embolo,ch SUI,FW,Rennes,fr Ligue 1,28.0,1997,1,1,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0.00,0.33,1,1,5,2,1,50.0,2.65,1.32,0.00,0.00,15.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2,7,9,77.8,89,17,0,0.1,0.1,-0.1,2,0,1,1,1,9,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,1,0.0,1,0,0,0,2,2,0,0,2,2.65,2,0,0,0,0,0,0,0.00,16,0,1,3,12,4,16,2,0,0.0,2,100.0,11,67,41,1,2,0,1,3,14,5,0,0,0,8,2,0,1,2,0,0,0,0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,22.0,2003,2,1,135,1.5,1,0,1,1,0,0,0,0,1.5,1.5,0.0,1.5,0.67,1.02,1,1,2,6,3,50.0,4.00,2.00,0.17,0.33,12.9,1,0,0,1.5,1.5,0.25,-0.5,-0.5,5,7,71.4,75,18,0,0.0,0.0,0.0,0,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,1,0.67,0,0,0,1,0,0,0,0.00,20,2,3,6,11,5,20,0,0,,0,,10,43,38,1,0,0,2,0,11,2,0,0,0,1,2,1,0,0,0,0,0,0,2,2,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,Wataru Endo,jp JPN,"MF,DF",Liverpool,eng Premier League,32.0,1993,3,0,34,0.4,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,2.65,0.29,1,1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,16,18,88.9,242,77,1,0.1,0.0,+0.9,1,3,0,0,1,18,0,0,0,0,0,0,0,0,0,0,16,2,1,0,0,2,2,50.0,1,0,0,0,0,2,2,0,2,5.29,2,0,0,0,0,0,1,2.65,24,1,4,17,3,0,24,0,0,,0,,7,27,12,1,0,0,1,1,13,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Yannik Engelhardt,de GER,MF,Gladbach,de Bundesliga,24.0,2001,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,3,1,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,25,27,92.6,431,153,0,0.0,0.0,0.0,0,1,1,0,3,25,2,2,0,0,0,0,0,0,0,0,25,3,2,1,1,1,0,,0,1,0,1,0,3,2,0,0,0.00,0,0,0,0,0,0,0,0.00,33,3,8,20,5,0,33,0,0,,0,,17,122,38,0,1,0,0,1,18,1,0,0,0,2,1,0,0,0,2,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Aarón Escandell,es ESP,GK,Oviedo,es La Liga,29.0,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,107,155,69.0,3022,2237,0,0.0,0.0,0.0,0,0,0,0,0,113,41,14,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,,0,0,0,0,0,0,8,1,0,0.00,0,0,0,0,0,0,0,0.00,179,157,178,1,0,0,179,0,0,,0,,95,496,262,0,0,0,0,0,85,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,100.0,7,1.75,29,22,75.9,1,0,3,1,25.0,0,0,0,0,8.3,0.31,+1.3,+0.32,27,67,40.3,127,15,41.7,34.7,72,2,2.8,10,2.50,16.1
580,Carlos Espí,es ESP,FW,Levante,es La Liga,20.0,2005,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,2,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,4,6,66.7,47,4,0,0.0,0.0,0.0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,7,0,2,3,2,0,7,0,0,,0,,7,26,10,0,1,0,0,3,6,2,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Alfonso Espino,uy URU,"DF,MF",Rayo Vallecano,es La Liga,33.0,1992,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,2,1,1,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,14,17,82.4,268,127,0,0.0,0.3,0.0,0,1,1,1,1,12,5,0,0,0,1,5,0,0,0,0,14,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,12.86,0,0,0,0,1,0,0,0.00,22,0,3,7,13,0,22,1,0,0.0,0,0.0,12,105,84,2,4,0,2,0,11,1,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Francesco Esposito,it ITA,FW,Inter,it Serie A,20.0,2005,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,1,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,3,4,75.0,62,3,0,0.0,0.0,0.0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,4,0,0,2,2,1,4,0,0,,0,,3,3,2,0,0,0,0,0,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Sebastiano Esposito,it ITA,"MF,FW",Cagliari,it Serie A,23.0,2002,3,3,198,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,0.00,0.12,1,12,10,4,0,0.0,1.82,0.00,0.00,,30.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,55,76,72.4,903,421,0,0.2,0.2,-0.2,5,7,1,0,12,70,5,2,0,0,8,1,2,0,2,0,55,4,4,3,1,0,5,60.0,2,3,1,2,2,6,2,0,10,4.55,8,2,0,0,0,0,0,0.00,97,4,18,51,29,5,97,4,2,50.0,2,50.0,46,194,97,1,1,0,2,3,66,10,1,0,0,5,7,1,8,2,4,0,0,0,12,3,4,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Romain Esse,eng ENG,FW,Crystal Palace,eng Premier League,20.0,2005,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,2,3,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,5,7,71.4,72,29,0,0.0,0.0,0.0,0,1,1,0,2,7,0,0,0,0,0,0,0,0,0,0,5,2,1,0,1,1,1,100.0,0,0,0,0,0,2,0,0,0,0.00,0,0,0,0,0,0,0,0.00,12,0,1,7,5,1,12,2,1,50.0,0,0.0,9,26,12,0,0,0,2,1,10,3,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Marco Esteban,es ESP,DF,Oviedo,es La Liga,19.0,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,11,13,84.6,215,35,0,0.0,0.0,0.0,0,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,0,0.00,0,0,0,0,0,0,0,0.00,18,4,10,8,0,0,18,0,0,,0,,10,30,8,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Maxime Estève,fr FRA,DF,Burnley,eng Premier League,23.0,2002,4,4,352,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.01,1,11,0,1,1,100.0,0.26,0.26,0.00,0.00,9.2,0,0,0,0.0,0.0,0.05,0.0,0.0,102,120,85.0,1773,725,0,0.0,0.0,0.0,0,9,0,0,11,118,2,2,0,1,0,0,0,0,0,0,102,2,2,1,0,1,4,25.0,3,8,6,2,3,5,29,0,1,0.26,0,0,0,0,1,0,0,0.00,166,35,93,69,4,2,166,0,0,,0,,71,241,132,1,0,0,2,1,85,0,0,0,0,2,3,0,0,3,2,0,0,0,4,9,5,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,29.0,1995,3,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.00,0.39,0,2,0,1,0,0.0,6.00,0.00,0.00,,26.1,0,0,0,0.0,0.0,0.01,0.0,0.0,9,13,69.2,208,76,0,0.1,0.0,-0.1,2,2,1,1,2,11,2,0,0,0,2,1,1,1,0,0,9,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,2,12.00,2,0,0,0,0,0,0,0.00,16,0,4,8,4,0,16,0,0,,0,,7,17,4,0,0,0,0,1,7,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Pervis Estupiñán,ec ECU,DF,Milan,it Serie A,27.0,1998,3,3,225,2.5,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,0.40,0.16,5,9,15,3,0,0.0,1.20,0.00,0.00,,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,99,119,83.2,1400,377,1,0.3,0.7,+0.7,2,5,1,0,9,95,24,2,0,1,4,22,0,0,0,0,99,3,3,3,0,0,4,50.0,2,2,0,2,3,6,2,1,6,2.40,5,0,1,0,0,0,1,0.40,144,5,42,58,45,5,144,3,1,33.3,2,66.7,77,322,177,5,4,2,7,3,84,15,1,0,0,3,4,2,4,3,3,0,0,0,12,1,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
